iter	Passed	Remaining
406	5562	8104
407	5575	8089
408	5588	8074
409	5600	8059
410	5613	8044
411	5626	8029
412	5639	8014
413	5651	8000
414	5665	7986
415	5679	7972
416	5692	7958
417	5706	7944
418	5719	7930
419	5733	7917
420	5746	7903
421	5759	7889
422	5772	7873
423	5785	7859
424	5799	7846
425	5813	7832
426	5825	7817
427	5838	7803
428	5852	7789
429	5864	7774
430	5877	7759
431	5891	7746
432	5904	7731
433	5917	7717
434	5931	7703
435	5944	7689
436	5957	7675
437	5972	7663
438	5986	7650
439	5999	7635
440	6012	7620
441	6026	7608
442	6039	7593
443	6053	7580
444	6066	7566
445	6078	7550
446	6091	7535
447	6104	7521
448	6117	7507
449	6129	7491
450	6143	7478
451	6157	7464
452	6170	7450
453	6183	7437
454	6196	7422
455	6209	7408
456	6223	7394
457	6236	7380
458	6249	7366
459	6262	7351
460	6276	7338
461	6289	7324
462	6303	7310
463	6316	7296
464	6329	7282
465	6342	7267
466	6355	7253
467	6368	7239
468	6382	7225
469	6395	7211
470	6407	7196
471	6421	7182
472	6435	7169
473	6447	7154
474	6460	7140
475	6474	7127
476	6488	7113
477	6501	7099
478	6515	7086
479	6529	7073
480	6542	7059
481	6555	7045
482	6568	7030
483	6580	7015
484	6593	7001
485	6607	6987
486	6620	6974
487	6633	6959
488	6647	6946
489	6659	6931
490	6673	6917
491	6686	6904
492	6699	6889
493	6712	6875
494	6726	6862
495	6741	6849
496	6754	6836
497	6767	6821
498	6780	6807
499	6793	6793
500	6807	6779
501	6821	6766
502	6834	6753
503	6847	6739
504	6862	6726
505	6875	6712
506	6888	6698
507	6902	6684
508	6915	6670
509	6927	6655
510	6941	6642
511	6954	6628
512	6967	6614
513	6980	6600
514	6994	6587
515	7008	6573
516	7021	6559
517	7035	6546
518	7048	6532
519	7061	6518
520	7075	6504
521	7088	6490
522	7100	6475
523	7113	6462
524	7127	6448
525	7140	6434
526	7153	6420
527	7165	6405
528	7178	6391
529	7192	6378
530	7205	6364
531	7219	6350
532	7231	6336
533	7244	6322
534	7257	6307
535	7270	6293
536	7282	6279
537	7295	6265
538	7309	6252
539	7322	6238
540	7336	6224
541	7349	6210
542	7362	6196
543	7375	6182
544	7388	6168
545	7401	6154
546	7414	6140
547	7427	6126
548	7440	6112
549	7454	6099
550	7467	6084
551	7480	6071
552	7495	6058
553	7507	6044
554	7520	6029
555	7532	6015
556	7546	6002
557	7560	5988
558	7574	5975
559	7589	5962
560	7602	5948
561	7614	5934
562	7628	5921
563	7641	5907
564	7655	5893
565	7668	5880
566	7682	5866
567	7694	5852
568	7707	5838
569	7721	5824
570	7733	5810
571	7746	5796
572	7759	5782
573	7771	5767
574	7784	5753
575	7798	5740
576	7811	5726
577	7825	5713
578	7837	5699
579	7851	5685
580	7864	5671
581	7877	5657
582	7891	5644
583	7904	5630
584	7917	5616
585	7930	5602
586	7942	5588
587	7955	5574
588	7968	5560
589	7982	5547
590	7995	5533
591	8008	5519
592	8021	5505
593	8034	5491
594	8047	5478
595	8061	5464
596	8074	5450
597	8087	5437
598	8101	5423
599	8114	5409
600	8126	5394
601	8139	5381
602	8152	5367
603	8166	5353
604	8179	5340
605	8189	5324
606	8203	5311
607	8216	5297
608	8228	5283
609	8241	5269
610	8254	5255
611	8268	5241
612	8281	5228
613	8294	5214
614	8307	5200
615	8320	5186
616	8333	5172
617	8346	5159
618	8359	5145
619	8372	5131
620	8385	5117
621	8397	5103
622	8410	5089
623	8423	5075
624	8436	5062
625	8450	5048
626	8462	5034
627	8475	5020
628	8488	5006
629	8500	4992
630	8513	4978
631	8527	4965
632	8540	4951
633	8554	4938
634	8567	4924
635	8581	4911
636	8593	4897
637	8606	4883
638	8620	4869
639	8633	4856
640	8647	4842
641	8659	4828
642	8672	4815
643	8685	4801
644	8698	4787
645	8712	4774
646	8725	4760
647	8738	4746
648	8750	4732
649	8764	4719
650	8777	4705
651	8790	4692
652	8803	4678
653	8817	4664
654	8830	4651
655	8844	4638
656	8857	4624
657	8871	4611
658	8884	4597
659	8897	4583
660	8911	4570
661	8924	4556
662	8937	4542
663	8950	4529
664	8963	4515
665	8976	4501
666	8989	4488
667	9003	4474
668	9015	4460
669	9029	4447
670	9042	4433
671	9055	4419
672	9068	4406
673	9081	4392
674	9094	4378
675	9108	4365
676	9122	4352
677	9135	4338
678	9148	4325
679	9162	4311
680	9175	4298
681	9188	4284
682	9201	4270
683	9214	4256
684	9226	4242
685	9239	4229
686	9252	4215
687	9266	4202
688	9279	4188
689	9292	4174
690	9304	4160
691	9317	4147
692	9330	4133
693	9342	4119
694	9355	4105
695	9368	4092
696	9382	4078
697	9394	4064
698	9407	4051
699	9421	4037
700	9434	4023
701	9447	4010
702	9460	3996
703	9473	3982
704	9486	3969
705	9499	3955
706	9512	3942
707	9525	3928
708	9538	3914
709	9551	3901
710	9564	3887
711	9577	3874
712	9591	3860
713	9604	3847
714	9617	3833
715	9631	3820
716	9644	3806
717	9657	3792
718	9669	3778
719	9682	3765
720	9697	3752
721	9710	3738
722	9723	3725
723	9736	3711
724	9749	3698
725	9764	3685
726	9777	3671
727	9790	3657
728	9803	3644
729	9817	3630
730	9831	3617
731	9844	3604
732	9858	3590
733	9871	3577
734	9885	3563
735	9897	3550
736	9911	3536
737	9924	3523
738	9938	3509
739	9952	3496
740	9965	3483
741	9979	3469
742	9993	3456
743	10006	3443
744	10019	3429
745	10032	3416
746	10046	3402
747	10059	3389
748	10073	3375
749	10086	3362
750	10099	3348
751	10113	3335
752	10125	3321
753	10139	3308
754	10152	3294
755	10165	3280
756	10178	3267
757	10192	3253
758	10206	3240
759	10220	3227
760	10233	3213
761	10246	3200
762	10259	3186
763	10272	3173
764	10285	3159
765	10298	3146
766	10312	3132
767	10325	3119
768	10338	3105
769	10351	3092
770	10365	3078
771	10379	3065
772	10391	3051
773	10405	3038
774	10418	3024
775	10431	3011
776	10445	2997
777	10458	2984
778	10472	2970
779	10485	2957
780	10499	2944
781	10512	2930
782	10525	2917
783	10539	2903
784	10552	2890
785	10564	2876
786	10578	2862
787	10591	2849
788	10604	2835
789	10617	2822
790	10630	2808
791	10643	2795
792	10656	2781
793	10669	2768
794	10683	2754
795	10696	2741
796	10709	2727
797	10721	2714
798	10735	2700
799	10749	2687
800	10762	2673
801	10775	2660
802	10789	2646
803	10802	2633
804	10816	2620
805	10829	2606
806	10843	2593
807	10856	2579
808	10869	2566
809	10881	2552
810	10894	2539
811	10908	2525
812	10921	2512
813	10935	2498
814	10948	2485
815	10961	2471
816	10974	2458
817	10987	2444
818	10999	2430
819	11012	2417
820	11025	2403
821	11038	2390
822	11051	2376
823	11064	2363
824	11077	2349
825	11090	2336
826	11103	2322
827	11116	2309
828	11130	2295
829	11142	2282
830	11155	2268
831	11168	2255
832	11181	2241
833	11194	2228
834	11207	2214
835	11221	2201
836	11234	2187
837	11247	2174
838	11259	2160
839	11273	2147
840	11286	2133
841	11300	2120
842	11313	2107
843	11326	2093
844	11339	2080
845	11352	2066
846	11365	2052
847	11378	2039
848	11391	2026
849	11403	2012
850	11416	1998
851	11429	1985
852	11443	1972
853	11456	1958
854	11469	1945
855	11482	1931
856	11496	1918
857	11508	1904
858	11521	1891
859	11534	1877
860	11547	1864
861	11561	1850
862	11574	1837
863	11587	1823
864	11600	1810
865	11613	1796
866	11627	1783
867	11641	1770
868	11654	1756
869	11667	1743
870	11681	1730
871	11694	1716
