iter	RMSE
598	1460.117174
599	1459.901351
600	1459.853212
601	1459.752847
602	1459.675272
603	1459.644701
604	1459.614672
605	1459.406442
606	1459.227489
607	1458.924935
608	1458.85147
609	1458.821676
610	1458.703427
611	1458.457245
612	1458.282274
613	1458.017149
614	1457.987596
615	1457.811977
616	1457.721818
617	1457.69275
618	1457.635353
619	1457.519959
620	1457.491227
621	1457.306343
622	1457.193646
623	1456.938795
624	1456.711884
625	1456.557271
626	1456.402818
627	1456.209686
628	1455.861733
629	1455.816505
630	1455.701437
631	1455.659864
632	1455.630847
633	1455.339059
634	1455.040516
635	1454.710113
636	1454.679593
637	1454.523278
638	1454.358429
639	1454.014892
640	1453.939963
641	1453.717995
642	1453.535539
643	1453.394998
644	1453.29779
645	1452.7287
646	1452.578943
647	1452.515817
648	1452.487939
649	1452.27261
650	1452.141609
651	1451.972285
652	1451.94474
653	1451.664052
654	1451.494461
655	1451.235891
656	1451.194341
657	1451.113946
658	1451.086804
659	1450.736355
660	1450.555849
661	1450.312882
662	1450.232593
663	1450.1155
664	1449.992645
665	1449.938131
666	1449.779827
667	1449.654288
668	1449.627457
669	1449.449661
670	1449.341007
671	1449.314426
672	1449.233343
673	1449.012593
674	1448.757599
675	1448.66984
676	1448.434924
677	1448.40874
678	1448.213948
679	1447.904053
680	1447.788963
681	1447.572943
682	1447.543988
683	1447.500763
684	1447.475289
685	1447.447463
686	1447.301611
687	1447.163764
688	1447.136442
689	1446.977514
690	1446.950751
691	1446.924556
692	1446.899045
693	1446.874181
694	1446.849351
695	1446.824902
696	1446.658979
697	1446.634986
698	1446.611442
699	1446.450783
700	1446.053082
701	1446.030333
702	1445.86996
703	1445.584635
704	1445.47768
705	1445.35066
706	1445.298765
707	1445.142859
708	1445.01612
709	1444.732084
710	1444.56413
711	1444.228412
712	1444.059133
713	1443.997822
714	1443.806587
715	1443.722112
716	1443.566841
717	1443.495766
718	1443.469088
719	1443.324177
720	1443.270994
721	1443.052292
722	1442.875253
723	1442.453598
724	1442.287132
725	1441.953999
726	1441.61754
727	1441.579367
728	1441.394612
729	1441.34248
730	1441.10161
731	1441.064406
732	1440.951091
733	1440.750485
734	1440.652985
735	1440.431359
736	1440.242988
737	1440.026369
738	1439.92128
739	1439.804511
740	1439.641213
741	1439.481241
742	1439.27295
743	1438.981912
744	1438.957735
745	1438.882287
746	1438.724786
747	1438.636861
748	1438.415112
749	1438.239975
750	1438.193881
751	1438.019485
752	1437.89011
753	1437.769665
754	1437.583062
755	1437.560163
756	1437.492752
757	1437.343577
758	1437.178907
759	1437.046003
760	1436.984099
761	1436.692599
762	1436.320486
763	1436.106869
764	1436.055686
765	1435.754752
766	1435.548772
767	1435.381842
768	1435.269971
769	1434.96585
770	1434.725762
771	1434.690289
772	1434.629686
773	1434.435386
774	1434.411864
775	1434.205107
776	1434.096547
777	1433.90861
778	1433.6564
779	1433.633182
780	1433.413778
781	1433.391413
782	1433.221836
783	1433.034353
784	1432.9852
785	1432.76251
786	1432.649137
787	1432.626498
788	1432.265267
789	1432.220858
790	1431.927562
791	1431.845199
792	1431.771321
793	1431.552355
794	1431.445195
795	1431.200089
796	1431.153128
797	1430.888325
798	1430.611316
799	1430.411936
800	1430.341116
801	1430.318402
802	1430.28802
803	1430.172326
804	1430.149875
805	1429.990411
806	1429.768055
807	1429.634471
808	1429.56593
809	1429.544558
810	1429.352065
811	1429.177134
812	1428.906896
813	1428.81853
814	1428.480601
815	1428.426764
816	1428.358441
817	1428.215421
818	1428.146107
819	1428.113825
820	1427.975001
821	1427.934022
822	1427.911998
823	1427.690509
824	1427.614227
825	1427.53949
826	1427.432134
827	1427.365083
828	1427.323767
829	1427.256626
830	1427.225831
831	1427.203985
832	1427.016733
833	1426.946864
834	1426.8146
835	1426.563596
836	1426.542651
837	1426.521089
838	1426.446733
839	1426.298748
840	1426.179363
841	1426.005923
842	1425.932061
843	1425.845405
844	1425.824043
845	1425.744645
846	1425.666224
847	1425.490931
848	1425.428338
849	1425.319331
850	1425.300352
851	1425.163875
852	1425.003325
853	1424.790157
854	1424.641521
855	1424.493801
856	1424.186863
857	1424.166664
858	1424.046819
859	1423.784921
860	1423.600159
861	1423.46865
862	1423.409059
863	1423.387997
864	1423.257468
865	1423.104617
866	1422.803739
867	1422.689016
868	1422.555014
869	1422.524859
870	1422.405981
871	1422.385826
872	1422.364758
873	1422.241978
874	1422.192446
875	1421.932889
876	1421.777853
877	1421.660195
878	1421.640638
879	1421.51639
880	1421.416281
881	1421.087845
882	1420.87675
883	1420.817535
884	1420.542904
885	1420.424412
886	1420.24544
887	1420.214083
888	1420.193741
889	1420.126841
890	1420.076227
891	1419.942203
892	1419.425914
893	1419.248463
894	1419.228274
895	1419.208259
896	1419.1388
897	1418.984904
898	1418.859385
899	1418.761462
900	1418.651463
901	1418.633998
902	1418.61519
903	1418.34539
904	1418.272004
905	1418.203441
906	1418.063144
907	1417.86923
908	1417.772476
909	1417.703526
910	1417.643828
911	1417.146095
912	1417.02815
913	1416.933814
914	1416.785942
915	1416.633022
916	1416.489358
917	1416.272407
918	1416.051361
919	1416.031667
920	1415.925646
921	1415.701151
922	1415.684179
923	1415.632843
924	1415.524491
925	1415.487801
926	1415.381325
927	1415.352982
928	1415.264296
929	1415.150544
930	1415.13111
931	1415.008456
932	1414.978701
933	1414.926925
934	1414.905919
935	1414.886713
936	1414.849006
937	1414.805463
938	1414.62406
939	1414.406156
940	1414.285118
941	1414.166276
942	1414.111314
943	1414.045568
944	1414.026498
945	1414.008631
946	1413.786252
947	1413.700132
948	1413.631873
949	1413.568688
950	1413.481197
951	1413.36414
952	1413.294377
953	1413.27557
954	1412.931178
955	1412.91254
956	1412.631669
957	1412.466098
958	1412.301271
959	1412.159986
960	1411.989097
961	1411.958066
962	1411.897734
963	1411.754884
964	1411.626642
965	1411.586685
966	1411.508752
967	1411.411247
968	1411.309504
969	1411.145844
970	1411.01945
971	1410.89729
972	1410.731271
973	1410.597446
974	1410.502613
975	1410.397053
976	1410.340287
977	1410.321756
978	1410.075723
979	1410.057325
980	1409.980367
981	1409.936382
982	1409.789209
983	1409.690302
984	1409.660778
985	1409.641575
986	1409.623432
987	1409.442155
988	1409.319684
989	1409.180516
990	1409.134364
991	1408.955845
992	1408.937849
993	1408.825771
994	1408.618805
995	1408.542313
996	1408.430406
997	1408.374484
998	1408.160722
999	1408.069765
